How Often Shower,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,CarbonEmission,Body Type_obese,Body Type_overweight,Body Type_underweight,Sex_male,Diet_pescatarian,Diet_vegan,Diet_vegetarian,Heating Energy Source_electricity,Heating Energy Source_natural gas,Heating Energy Source_wood,Transport_public,Transport_walk/bicycle,Vehicle Type_electric,Vehicle Type_hybrid,Vehicle Type_lpg,Vehicle Type_petrol,Social Activity_often,Social Activity_sometimes,Energy efficiency_Sometimes,Energy efficiency_Yes,Recycling_['Glass'],Recycling_['Metal'],"Recycling_['Paper', 'Glass', 'Metal']","Recycling_['Paper', 'Glass']","Recycling_['Paper', 'Metal']","Recycling_['Paper', 'Plastic', 'Glass', 'Metal']","Recycling_['Paper', 'Plastic', 'Glass']","Recycling_['Paper', 'Plastic', 'Metal']","Recycling_['Paper', 'Plastic']",Recycling_['Paper'],"Recycling_['Plastic', 'Glass', 'Metal']","Recycling_['Plastic', 'Glass']","Recycling_['Plastic', 'Metal']",Recycling_['Plastic'],Recycling_[],"Cooking_With_['Microwave', 'Grill', 'Airfryer']",Cooking_With_['Microwave'],"Cooking_With_['Oven', 'Grill', 'Airfryer']","Cooking_With_['Oven', 'Microwave', 'Grill', 'Airfryer']","Cooking_With_['Oven', 'Microwave']",Cooking_With_['Oven'],"Cooking_With_['Stove', 'Grill', 'Airfryer']","Cooking_With_['Stove', 'Microwave', 'Grill', 'Airfryer']","Cooking_With_['Stove', 'Microwave']","Cooking_With_['Stove', 'Oven', 'Grill', 'Airfryer']","Cooking_With_['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']","Cooking_With_['Stove', 'Oven', 'Microwave']","Cooking_With_['Stove', 'Oven']",Cooking_With_['Stove'],Cooking_With_[],Total_Waste_Bag_Weekly
daily,266,frequently,7304,large,3,3,40,3,2693,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,largelargelarge
less frequently,234,frequently,28,medium,1,2,16,10,1809,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,medium
less frequently,89,very frequently,24,medium,3,20,0,21,2055,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,mediummediummedium
twice a day,279,frequently,658,extra large,1,10,5,16,1320,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,extra large
daily,278,rarely,34,medium,3,20,0,16,1344,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,mediummediummedium
twice a day,288,rarely,80,medium,1,15,3,23,1532,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium
more frequently,185,frequently,996,extra large,5,18,31,17,2306,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,extra largeextra largeextra largeextra largeextra large
daily,298,never,1993,large,4,23,38,17,2430,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,largelargelargelarge
less frequently,124,rarely,80,small,4,3,26,5,846,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,smallsmallsmallsmall
less frequently,228,never,6574,extra large,5,19,23,1,3263,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,extra largeextra largeextra largeextra largeextra large
daily,235,very frequently,2,extra large,6,11,15,6,2424,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,extra largeextra largeextra largeextra largeextra largeextra large
twice a day,80,never,1697,small,5,20,35,4,1171,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,smallsmallsmallsmallsmall
less frequently,202,rarely,20,large,2,14,47,18,1289,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,largelarge
more frequently,218,rarely,8770,small,1,19,36,16,3716,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,small
twice a day,145,very frequently,111,small,7,4,31,6,2967,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,smallsmallsmallsmallsmallsmallsmall
more frequently,131,very frequently,74,small,7,13,19,12,2457,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,smallsmallsmallsmallsmallsmallsmall
less frequently,204,never,41,extra large,6,16,46,20,2845,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,extra largeextra largeextra largeextra largeextra largeextra large
less frequently,163,very frequently,8194,small,6,21,21,14,4790,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,smallsmallsmallsmallsmallsmall
less frequently,287,very frequently,203,medium,5,17,10,11,2179,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,mediummediummediummediummedium
twice a day,213,rarely,5074,extra large,7,3,44,8,4622,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,extra largeextra largeextra largeextra largeextra largeextra largeextra large
more frequently,233,never,20,small,1,11,20,2,1964,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,small
daily,144,never,551,medium,6,3,13,4,1351,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,mediummediummediummediummediummedium
less frequently,245,rarely,86,small,4,16,7,16,1125,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,smallsmallsmallsmall
twice a day,150,frequently,8922,small,4,23,49,12,7033,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,smallsmallsmallsmall
twice a day,154,rarely,1412,medium,1,5,46,5,1591,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,medium
daily,60,frequently,616,large,3,4,18,8,1711,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,largelargelarge
daily,73,frequently,998,large,3,8,1,0,1095,False,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,largelargelarge
twice a day,182,very frequently,2791,medium,5,6,41,8,3326,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,mediummediummediummediummedium
less frequently,192,very frequently,45,small,7,20,2,1,2127,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,smallsmallsmallsmallsmallsmallsmall
less frequently,259,frequently,6207,large,7,16,3,6,2929,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,largelargelargelargelargelargelarge
twice a day,210,very frequently,1960,medium,1,14,1,19,2161,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,medium
more frequently,96,frequently,1614,extra large,1,3,18,8,1952,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,extra large
less frequently,187,rarely,5175,small,6,6,44,13,1650,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,smallsmallsmallsmallsmallsmall
daily,84,rarely,952,small,7,19,49,16,1672,False,True,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,smallsmallsmallsmallsmallsmallsmall
daily,132,rarely,5738,medium,3,20,20,23,2240,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,mediummediummedium
twice a day,141,rarely,8317,medium,6,12,45,9,3238,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,mediummediummediummediummediummedium
twice a day,275,rarely,11,extra large,7,15,24,3,2045,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,extra largeextra largeextra largeextra largeextra largeextra largeextra large
daily,269,very frequently,52,extra large,6,12,15,1,2563,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,extra largeextra largeextra largeextra largeextra largeextra large
twice a day,176,very frequently,833,small,7,1,44,6,3094,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,smallsmallsmallsmallsmallsmallsmall
less frequently,55,frequently,452,medium,4,5,13,6,1499,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,mediummediummediummedium
twice a day,158,rarely,590,extra large,1,16,30,1,1171,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,extra large
less frequently,157,never,1840,medium,2,19,15,24,1814,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,mediummedium
daily,296,frequently,1060,medium,1,6,47,10,2376,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium
daily,108,never,5074,small,1,11,19,7,1818,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,small
more frequently,176,rarely,1134,extra large,3,7,0,10,1559,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,extra largeextra largeextra large
more frequently,60,frequently,1518,extra large,2,20,28,14,2458,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,extra largeextra large
twice a day,138,very frequently,1801,small,5,3,9,11,2646,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,smallsmallsmallsmallsmall
daily,202,rarely,1903,large,4,9,14,22,1447,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,largelargelargelarge
less frequently,60,never,770,medium,4,8,29,2,971,False,False,True,True,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,mediummediummediummedium
less frequently,185,frequently,0,small,4,4,11,0,1346,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,smallsmallsmallsmall
twice a day,205,rarely,10,medium,1,12,50,2,1514,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,medium
twice a day,212,rarely,2801,large,7,21,30,13,2738,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,largelargelargelargelargelargelarge
less frequently,69,frequently,8272,large,4,17,39,21,4981,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,largelargelargelarge
daily,81,very frequently,85,large,7,17,20,8,2871,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,largelargelargelargelargelargelarge
twice a day,109,frequently,785,extra large,7,11,30,1,3062,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,extra largeextra largeextra largeextra largeextra largeextra largeextra large
twice a day,294,never,9740,large,2,1,22,4,1041,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,largelarge
less frequently,217,frequently,434,medium,3,22,10,16,1614,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,mediummediummedium
more frequently,247,never,31,small,7,19,27,23,1243,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,smallsmallsmallsmallsmallsmallsmall
more frequently,77,never,1262,large,4,23,1,3,998,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,largelargelargelarge
daily,208,very frequently,82,small,3,10,33,18,3383,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,smallsmallsmall
less frequently,200,rarely,324,extra large,3,8,19,8,1553,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,extra largeextra largeextra large
twice a day,98,rarely,79,small,2,18,22,23,1255,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,smallsmall
twice a day,185,frequently,4579,small,6,5,2,1,2839,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,smallsmallsmallsmallsmallsmall
more frequently,203,rarely,9,large,3,1,11,10,1920,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,largelargelarge
twice a day,292,never,6734,small,6,17,43,15,4102,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,smallsmallsmallsmallsmallsmall
more frequently,134,rarely,2226,extra large,3,18,50,19,1807,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,extra largeextra largeextra large
less frequently,217,rarely,895,small,6,14,50,19,1550,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,smallsmallsmallsmallsmallsmall
less frequently,118,frequently,1383,large,3,16,49,4,2033,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,largelargelarge
daily,84,rarely,8,large,5,19,15,20,1828,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,largelargelargelargelarge
more frequently,283,very frequently,39,extra large,6,10,13,2,3053,False,False,True,True,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,extra largeextra largeextra largeextra largeextra largeextra large
less frequently,265,rarely,57,large,1,20,41,18,1320,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,large
less frequently,201,very frequently,407,medium,3,3,25,12,2109,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,mediummediummedium
daily,265,rarely,414,medium,4,8,28,20,1715,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,mediummediummediummedium
daily,84,never,69,medium,7,23,7,19,1124,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,mediummediummediummediummediummediummedium
more frequently,102,rarely,6926,small,2,12,41,11,1939,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,smallsmall
daily,249,never,361,large,2,3,10,19,888,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,largelarge
more frequently,170,rarely,1496,small,1,4,41,11,2379,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,small
daily,75,frequently,59,large,6,4,38,24,1971,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,largelargelargelargelargelarge
daily,121,very frequently,752,small,1,14,21,3,2268,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,small
more frequently,228,rarely,8003,extra large,7,18,24,5,4299,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,extra largeextra largeextra largeextra largeextra largeextra largeextra large
more frequently,196,rarely,5308,large,5,10,18,14,2297,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,largelargelargelargelarge
less frequently,121,rarely,235,small,5,0,4,18,1213,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,smallsmallsmallsmallsmall
daily,227,frequently,6512,small,1,21,49,19,4048,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,small
daily,287,rarely,7,small,2,2,25,16,1950,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,smallsmall
less frequently,58,rarely,1901,small,5,20,15,0,1149,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,smallsmallsmallsmallsmall
more frequently,114,never,1334,large,4,24,26,6,1365,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,largelargelargelarge
more frequently,219,rarely,6840,large,7,15,24,7,1966,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,largelargelargelargelargelargelarge
daily,57,very frequently,70,large,2,1,13,0,1965,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,largelarge
daily,133,very frequently,3371,small,6,3,43,12,3934,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,smallsmallsmallsmallsmallsmall
more frequently,183,never,8669,small,5,10,31,17,4684,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,smallsmallsmallsmallsmall
more frequently,128,frequently,70,extra large,4,7,10,18,1564,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,extra largeextra largeextra largeextra large
twice a day,281,frequently,98,large,5,16,19,19,2677,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,largelargelargelargelarge
more frequently,242,rarely,22,medium,7,5,13,8,1101,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,mediummediummediummediummediummediummedium
twice a day,208,very frequently,96,extra large,4,17,50,12,3189,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,extra largeextra largeextra largeextra large
