Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,Combined
overweight,female,omnivore,twice a day,natural gas,public,,sometimes,82,very frequently,302,large,5,2,31,10,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",2808,public
normal,female,omnivore,twice a day,coal,walk/bicycle,,sometimes,96,rarely,76,medium,5,8,46,11,Sometimes,"['Paper', 'Plastic', 'Metal']","['Grill', 'Airfryer']",1609,walk/bicycle
overweight,male,pescatarian,more frequently,wood,public,,often,230,frequently,1693,extra large,6,8,0,10,No,"['Plastic', 'Metal']","['Stove', 'Oven']",2626,public
obese,male,vegetarian,more frequently,natural gas,walk/bicycle,,often,198,never,6,medium,6,18,34,1,Yes,['Paper'],['Oven'],1908,walk/bicycle
overweight,male,vegetarian,twice a day,electricity,walk/bicycle,,sometimes,134,very frequently,4,large,6,4,36,18,Yes,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",3131,walk/bicycle
overweight,male,omnivore,daily,electricity,public,,sometimes,244,frequently,883,medium,2,0,36,10,Yes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",2255,public
normal,female,pescatarian,less frequently,natural gas,public,,sometimes,151,rarely,1202,small,3,9,0,4,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",783,public
underweight,male,pescatarian,daily,natural gas,private,lpg,never,73,never,1536,extra large,5,23,1,0,Sometimes,['Metal'],['Microwave'],1518,private - lpg
normal,male,omnivore,twice a day,electricity,walk/bicycle,,often,135,rarely,47,extra large,6,16,24,0,Yes,"['Glass', 'Metal']",['Microwave'],1692,walk/bicycle
obese,male,vegan,twice a day,coal,public,,sometimes,119,very frequently,541,medium,7,3,34,5,No,['Plastic'],"['Stove', 'Oven', 'Microwave']",4038,public
normal,male,vegan,twice a day,coal,walk/bicycle,,never,117,never,92,medium,1,18,40,8,Yes,['Glass'],['Stove'],1417,walk/bicycle
underweight,female,pescatarian,more frequently,electricity,private,lpg,sometimes,268,very frequently,3183,small,4,15,7,5,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2509,private - lpg
normal,female,vegan,more frequently,electricity,private,electric,never,93,rarely,6192,large,5,6,26,21,Yes,"['Paper', 'Metal']",['Microwave'],1103,private - electric
obese,female,pescatarian,less frequently,coal,walk/bicycle,,often,276,very frequently,68,large,3,15,0,13,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",2580,walk/bicycle
obese,female,pescatarian,less frequently,coal,public,,often,94,rarely,1688,small,4,22,22,22,Sometimes,['Metal'],"['Microwave', 'Grill', 'Airfryer']",1914,public
normal,female,omnivore,more frequently,wood,private,hybrid,never,197,rarely,11,small,3,9,1,11,No,"['Paper', 'Plastic', 'Glass', 'Metal']",[],751,private - hybrid
obese,male,pescatarian,more frequently,electricity,private,lpg,never,162,rarely,2119,large,2,3,29,11,Sometimes,[],"['Stove', 'Oven', 'Microwave']",2366,private - lpg
overweight,female,pescatarian,daily,natural gas,walk/bicycle,,never,101,never,75,small,4,20,16,12,Yes,"['Plastic', 'Glass', 'Metal']",['Microwave'],758,walk/bicycle
overweight,male,vegan,less frequently,coal,private,hybrid,never,92,rarely,2180,small,4,4,3,14,Yes,[],"['Oven', 'Microwave']",1781,private - hybrid
overweight,female,vegetarian,twice a day,wood,private,petrol,often,62,very frequently,8931,large,4,3,28,24,Yes,"['Paper', 'Metal']",['Microwave'],5517,private - petrol
obese,female,pescatarian,more frequently,coal,public,,often,228,never,1490,medium,6,11,33,19,No,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2199,public
normal,male,pescatarian,less frequently,wood,public,,never,130,rarely,272,medium,2,17,22,2,Sometimes,['Metal'],['Oven'],1204,public
underweight,male,vegan,less frequently,coal,private,petrol,often,205,very frequently,5095,extra large,2,10,0,14,Yes,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",4320,private - petrol
overweight,male,vegetarian,less frequently,coal,public,,often,278,rarely,1388,small,5,22,3,7,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",1622,public
normal,female,omnivore,twice a day,electricity,public,,never,153,never,1993,large,6,8,35,8,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",1347,public
underweight,male,pescatarian,twice a day,electricity,walk/bicycle,,often,179,frequently,23,medium,7,1,32,17,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1899,walk/bicycle
overweight,male,vegan,less frequently,coal,public,,never,161,rarely,1785,medium,6,6,29,14,Sometimes,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']",1870,public
obese,female,omnivore,daily,natural gas,private,electric,often,173,rarely,7557,medium,4,4,13,19,No,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1489,private - electric
overweight,female,vegan,daily,wood,walk/bicycle,,sometimes,188,very frequently,27,medium,3,9,11,14,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",2210,walk/bicycle
underweight,male,omnivore,daily,coal,public,,sometimes,176,very frequently,1801,small,2,15,39,4,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",2749,public
obese,male,omnivore,twice a day,electricity,public,,sometimes,177,very frequently,1766,medium,2,14,2,2,No,[],"['Stove', 'Microwave']",2861,public
normal,male,vegetarian,twice a day,electricity,walk/bicycle,,often,70,very frequently,79,large,7,13,7,17,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",2438,walk/bicycle
overweight,female,pescatarian,twice a day,coal,walk/bicycle,,often,158,frequently,22,small,4,9,9,20,No,['Paper'],"['Stove', 'Oven']",1872,walk/bicycle
obese,female,pescatarian,daily,wood,public,,never,106,rarely,1928,extra large,6,13,29,18,No,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']",2001,public
overweight,female,vegan,twice a day,wood,walk/bicycle,,often,105,rarely,50,large,6,3,13,6,No,['Plastic'],['Microwave'],1573,walk/bicycle
normal,female,pescatarian,daily,natural gas,private,hybrid,sometimes,100,very frequently,3162,extra large,3,16,27,23,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",2773,private - hybrid
overweight,female,pescatarian,twice a day,coal,walk/bicycle,,often,185,rarely,81,medium,5,16,22,23,Sometimes,"['Paper', 'Glass']",['Stove'],1765,walk/bicycle
obese,female,omnivore,more frequently,electricity,walk/bicycle,,sometimes,297,frequently,69,large,3,6,0,22,No,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",1776,walk/bicycle
obese,male,pescatarian,less frequently,natural gas,private,electric,sometimes,102,never,1919,extra large,3,2,46,23,Sometimes,['Plastic'],"['Stove', 'Microwave']",2253,private - electric
overweight,male,vegan,daily,coal,walk/bicycle,,sometimes,220,very frequently,69,extra large,5,18,23,8,Sometimes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",3498,walk/bicycle
overweight,female,pescatarian,twice a day,natural gas,public,,often,143,frequently,819,large,4,8,20,15,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2010,public
obese,male,pescatarian,twice a day,coal,walk/bicycle,,never,208,frequently,6,medium,6,12,1,19,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2299,walk/bicycle
obese,female,pescatarian,daily,natural gas,walk/bicycle,,often,106,frequently,92,large,7,14,14,20,No,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2774,walk/bicycle
obese,male,pescatarian,daily,coal,walk/bicycle,,often,60,never,13,medium,3,22,31,13,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1755,walk/bicycle
obese,male,pescatarian,more frequently,natural gas,walk/bicycle,,often,76,frequently,69,medium,3,19,38,7,No,['Plastic'],"['Grill', 'Airfryer']",2571,walk/bicycle
obese,female,omnivore,less frequently,natural gas,public,,never,233,rarely,1024,extra large,2,14,2,14,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",1548,public
underweight,female,omnivore,more frequently,coal,public,,never,185,frequently,408,extra large,7,3,38,0,No,['Metal'],['Oven'],2538,public
normal,female,pescatarian,less frequently,electricity,public,,often,297,never,1319,extra large,3,17,20,13,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",1281,public
obese,female,omnivore,twice a day,natural gas,private,lpg,sometimes,202,never,7598,small,5,19,44,6,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",3590,private - lpg
obese,male,pescatarian,more frequently,wood,public,,never,257,very frequently,1062,large,4,19,12,11,No,['Glass'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",3320,public
normal,female,vegetarian,less frequently,coal,walk/bicycle,,never,272,never,12,large,1,4,7,1,No,"['Paper', 'Metal']","['Stove', 'Oven']",738,walk/bicycle
obese,male,omnivore,daily,natural gas,walk/bicycle,,never,274,very frequently,19,small,7,19,6,2,Sometimes,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3147,walk/bicycle
overweight,male,pescatarian,twice a day,natural gas,public,,often,148,frequently,1004,medium,1,13,45,19,Yes,['Glass'],"['Stove', 'Grill', 'Airfryer']",2461,public
normal,female,vegetarian,less frequently,wood,private,diesel,sometimes,178,rarely,7363,medium,1,11,48,1,Yes,[],"['Stove', 'Oven']",3029,private - diesel
normal,male,vegetarian,twice a day,wood,walk/bicycle,,sometimes,258,rarely,68,medium,1,5,40,20,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",1739,walk/bicycle
underweight,male,omnivore,less frequently,electricity,walk/bicycle,,never,263,rarely,55,extra large,6,17,17,3,Sometimes,"['Paper', 'Glass']","['Stove', 'Microwave']",1621,walk/bicycle
underweight,male,vegan,less frequently,coal,public,,often,193,rarely,1785,medium,1,5,34,21,Sometimes,['Glass'],['Microwave'],1769,public
underweight,male,vegetarian,less frequently,electricity,public,,sometimes,98,never,376,extra large,5,17,17,18,Sometimes,"['Plastic', 'Glass', 'Metal']",[],1151,public
obese,female,vegetarian,less frequently,electricity,public,,often,292,very frequently,1516,extra large,6,18,27,10,No,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",3180,public
underweight,female,vegetarian,daily,wood,walk/bicycle,,often,105,rarely,65,large,6,3,3,0,No,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1065,walk/bicycle
overweight,male,omnivore,twice a day,coal,walk/bicycle,,often,227,never,20,medium,2,22,36,9,No,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2280,walk/bicycle
obese,male,vegan,daily,electricity,walk/bicycle,,often,136,frequently,98,extra large,5,24,8,22,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2410,walk/bicycle
normal,male,vegetarian,more frequently,coal,private,hybrid,never,50,never,288,large,2,8,21,14,Yes,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1042,private - hybrid
overweight,female,vegetarian,twice a day,electricity,private,hybrid,never,116,rarely,4998,large,4,3,43,5,Yes,[],"['Oven', 'Grill', 'Airfryer']",2386,private - hybrid
normal,male,vegetarian,more frequently,electricity,private,diesel,never,91,rarely,1340,medium,2,24,26,7,Sometimes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",1414,private - diesel
normal,female,pescatarian,twice a day,coal,public,,sometimes,202,never,1507,small,3,24,12,10,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1024,public
overweight,female,omnivore,daily,electricity,walk/bicycle,,never,114,frequently,38,extra large,2,8,33,5,No,['Paper'],"['Oven', 'Microwave']",1694,walk/bicycle
overweight,male,vegan,less frequently,electricity,private,hybrid,never,240,rarely,9798,large,6,1,27,11,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3170,private - hybrid
underweight,female,omnivore,twice a day,electricity,walk/bicycle,,often,155,rarely,40,large,6,20,46,13,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",1833,walk/bicycle
obese,female,vegan,less frequently,natural gas,walk/bicycle,,never,267,very frequently,19,extra large,4,21,33,10,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2912,walk/bicycle
overweight,female,vegetarian,more frequently,coal,public,,often,110,never,1386,extra large,7,19,45,13,No,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2327,public
underweight,female,omnivore,daily,natural gas,walk/bicycle,,often,191,very frequently,71,small,7,8,4,16,Sometimes,['Glass'],['Stove'],2124,walk/bicycle
obese,male,vegan,more frequently,natural gas,public,,often,69,never,1767,large,3,12,8,16,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",1483,public
obese,female,pescatarian,more frequently,wood,walk/bicycle,,never,289,frequently,24,medium,3,6,20,15,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",1913,walk/bicycle
underweight,female,vegetarian,less frequently,natural gas,private,diesel,often,57,frequently,1658,large,3,18,44,15,Yes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2228,private - diesel
obese,male,vegan,less frequently,natural gas,walk/bicycle,,sometimes,285,never,1,medium,7,23,49,23,No,"['Glass', 'Metal']","['Stove', 'Oven']",2283,walk/bicycle
overweight,male,pescatarian,less frequently,wood,walk/bicycle,,never,272,very frequently,55,large,5,19,6,12,No,"['Paper', 'Plastic']","['Stove', 'Oven']",2945,walk/bicycle
underweight,female,vegetarian,twice a day,natural gas,private,lpg,never,87,frequently,5964,extra large,4,2,37,9,Sometimes,[],['Microwave'],3176,private - lpg
underweight,male,pescatarian,daily,natural gas,walk/bicycle,,never,92,never,28,extra large,1,13,39,21,Sometimes,"['Paper', 'Plastic']",['Oven'],1236,walk/bicycle
normal,female,vegetarian,daily,wood,private,hybrid,sometimes,266,frequently,7304,large,3,3,40,3,Sometimes,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",2693,private - hybrid
normal,male,omnivore,less frequently,coal,walk/bicycle,,often,234,frequently,28,medium,1,2,16,10,Sometimes,"['Paper', 'Glass', 'Metal']",['Oven'],1809,walk/bicycle
normal,male,vegan,less frequently,natural gas,walk/bicycle,,sometimes,89,very frequently,24,medium,3,20,0,21,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",2055,walk/bicycle
overweight,female,vegetarian,twice a day,electricity,public,,often,279,frequently,658,extra large,1,10,5,16,Sometimes,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1320,public
normal,male,vegetarian,daily,coal,walk/bicycle,,never,278,rarely,34,medium,3,20,0,16,Yes,['Metal'],"['Stove', 'Oven']",1344,walk/bicycle
obese,male,pescatarian,twice a day,coal,walk/bicycle,,never,288,rarely,80,medium,1,15,3,23,No,"['Paper', 'Plastic', 'Glass']",['Stove'],1532,walk/bicycle
normal,female,vegetarian,more frequently,coal,public,,never,185,frequently,996,extra large,5,18,31,17,Sometimes,"['Glass', 'Metal']",['Oven'],2306,public
overweight,male,omnivore,daily,wood,public,,sometimes,298,never,1993,large,4,23,38,17,Sometimes,[],['Oven'],2430,public
normal,female,vegan,less frequently,wood,walk/bicycle,,sometimes,124,rarely,80,small,4,3,26,5,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",846,walk/bicycle
normal,female,pescatarian,less frequently,electricity,private,petrol,sometimes,228,never,6574,extra large,5,19,23,1,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3263,private - petrol
normal,female,omnivore,daily,natural gas,walk/bicycle,,never,235,very frequently,2,extra large,6,11,15,6,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],2424,walk/bicycle
overweight,male,pescatarian,twice a day,electricity,public,,never,80,never,1697,small,5,20,35,4,Yes,"['Plastic', 'Glass']",['Microwave'],1171,public
underweight,female,pescatarian,less frequently,electricity,walk/bicycle,,never,202,rarely,20,large,2,14,47,18,Yes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",1289,walk/bicycle
normal,female,omnivore,more frequently,coal,private,lpg,sometimes,218,rarely,8770,small,1,19,36,16,Sometimes,['Plastic'],['Stove'],3716,private - lpg
normal,male,omnivore,twice a day,coal,public,,often,145,very frequently,111,small,7,4,31,6,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2967,public
overweight,female,vegan,more frequently,coal,public,,sometimes,131,very frequently,74,small,7,13,19,12,Yes,"['Paper', 'Plastic']","['Stove', 'Oven']",2457,public
obese,male,pescatarian,less frequently,wood,walk/bicycle,,often,204,never,41,extra large,6,16,46,20,No,"['Plastic', 'Metal']",['Oven'],2845,walk/bicycle
overweight,male,omnivore,less frequently,wood,private,diesel,never,163,very frequently,8194,small,6,21,21,14,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",4790,private - diesel
underweight,female,pescatarian,less frequently,coal,public,,often,287,very frequently,203,medium,5,17,10,11,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",2179,public
obese,male,omnivore,twice a day,natural gas,private,lpg,never,213,rarely,5074,extra large,7,3,44,8,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",4622,private - lpg
obese,male,omnivore,more frequently,coal,walk/bicycle,,often,233,never,20,small,1,11,20,2,Yes,['Plastic'],"['Stove', 'Microwave']",1964,walk/bicycle
underweight,male,vegetarian,daily,natural gas,public,,often,144,never,551,medium,6,3,13,4,Yes,[],"['Stove', 'Grill', 'Airfryer']",1351,public
overweight,male,pescatarian,less frequently,wood,walk/bicycle,,never,245,rarely,86,small,4,16,7,16,Sometimes,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",1125,walk/bicycle
obese,male,omnivore,twice a day,coal,private,petrol,never,150,frequently,8922,small,4,23,49,12,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",7033,private - petrol
underweight,female,vegetarian,twice a day,coal,public,,sometimes,154,rarely,1412,medium,1,5,46,5,Yes,['Glass'],"['Stove', 'Oven', 'Microwave']",1591,public
normal,female,vegan,daily,coal,public,,never,60,frequently,616,large,3,4,18,8,No,['Glass'],"['Grill', 'Airfryer']",1711,public
underweight,male,vegan,daily,electricity,public,,often,73,frequently,998,large,3,8,1,0,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1095,public
underweight,male,vegan,twice a day,electricity,private,hybrid,often,182,very frequently,2791,medium,5,6,41,8,No,['Plastic'],"['Stove', 'Oven']",3326,private - hybrid
overweight,female,vegan,less frequently,wood,walk/bicycle,,never,192,very frequently,45,small,7,20,2,1,Sometimes,['Paper'],"['Oven', 'Grill', 'Airfryer']",2127,walk/bicycle
normal,female,vegetarian,less frequently,electricity,private,diesel,never,259,frequently,6207,large,7,16,3,6,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2929,private - diesel
overweight,female,vegan,twice a day,wood,public,,often,210,very frequently,1960,medium,1,14,1,19,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2161,public
normal,male,vegetarian,more frequently,natural gas,private,petrol,sometimes,96,frequently,1614,extra large,1,3,18,8,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",1952,private - petrol
normal,female,vegan,less frequently,coal,private,electric,never,187,rarely,5175,small,6,6,44,13,Yes,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1650,private - electric
overweight,male,pescatarian,daily,electricity,public,,often,84,rarely,952,small,7,19,49,16,No,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",1672,public
overweight,female,pescatarian,daily,coal,private,hybrid,never,132,rarely,5738,medium,3,20,20,23,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2240,private - hybrid
overweight,female,vegan,twice a day,coal,private,hybrid,sometimes,141,rarely,8317,medium,6,12,45,9,Sometimes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",3238,private - hybrid
overweight,female,vegetarian,twice a day,wood,walk/bicycle,,often,275,rarely,11,extra large,7,15,24,3,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2045,walk/bicycle
normal,male,vegan,daily,wood,walk/bicycle,,never,269,very frequently,52,extra large,6,12,15,1,Yes,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",2563,walk/bicycle
obese,male,vegan,twice a day,electricity,public,,often,176,very frequently,833,small,7,1,44,6,Sometimes,"['Plastic', 'Glass']","['Stove', 'Microwave']",3094,public
normal,female,omnivore,less frequently,coal,public,,never,55,frequently,452,medium,4,5,13,6,Sometimes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",1499,public
normal,female,vegan,twice a day,wood,public,,often,158,rarely,590,extra large,1,16,30,1,Yes,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1171,public
obese,male,pescatarian,less frequently,coal,public,,never,157,never,1840,medium,2,19,15,24,Sometimes,['Glass'],"['Stove', 'Grill', 'Airfryer']",1814,public
underweight,female,vegetarian,daily,coal,private,lpg,often,296,frequently,1060,medium,1,6,47,10,No,[],['Stove'],2376,private - lpg
normal,male,vegan,daily,natural gas,private,hybrid,often,108,never,5074,small,1,11,19,7,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave']",1818,private - hybrid
obese,male,omnivore,more frequently,natural gas,public,,never,176,rarely,1134,extra large,3,7,0,10,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",1559,public
overweight,male,omnivore,more frequently,coal,private,electric,sometimes,60,frequently,1518,extra large,2,20,28,14,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2458,private - electric
overweight,male,omnivore,twice a day,wood,public,,sometimes,138,very frequently,1801,small,5,3,9,11,Yes,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",2646,public
normal,female,vegetarian,daily,wood,public,,sometimes,202,rarely,1903,large,4,9,14,22,Yes,['Glass'],[],1447,public
underweight,male,pescatarian,less frequently,natural gas,public,,sometimes,60,never,770,medium,4,8,29,2,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",971,public
underweight,female,omnivore,less frequently,coal,walk/bicycle,,never,185,frequently,0,small,4,4,11,0,Yes,['Metal'],[],1346,walk/bicycle
overweight,female,omnivore,twice a day,natural gas,walk/bicycle,,never,205,rarely,10,medium,1,12,50,2,Sometimes,"['Paper', 'Metal']",['Oven'],1514,walk/bicycle
normal,male,omnivore,twice a day,wood,private,hybrid,sometimes,212,rarely,2801,large,7,21,30,13,Sometimes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",2738,private - hybrid
overweight,male,pescatarian,less frequently,wood,private,diesel,often,69,frequently,8272,large,4,17,39,21,Sometimes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4981,private - diesel
normal,male,pescatarian,daily,wood,walk/bicycle,,often,81,very frequently,85,large,7,17,20,8,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2871,walk/bicycle
normal,male,omnivore,twice a day,coal,public,,sometimes,109,frequently,785,extra large,7,11,30,1,No,['Glass'],['Microwave'],3062,public
normal,female,pescatarian,twice a day,natural gas,private,electric,often,294,never,9740,large,2,1,22,4,No,"['Paper', 'Metal']",['Microwave'],1041,private - electric
overweight,female,vegan,less frequently,natural gas,public,,sometimes,217,frequently,434,medium,3,22,10,16,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1614,public
overweight,female,vegetarian,more frequently,natural gas,walk/bicycle,,never,247,never,31,small,7,19,27,23,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1243,walk/bicycle
normal,female,pescatarian,more frequently,coal,public,,often,77,never,1262,large,4,23,1,3,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",998,public
obese,male,vegetarian,daily,natural gas,walk/bicycle,,often,208,very frequently,82,small,3,10,33,18,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3383,walk/bicycle
overweight,female,vegetarian,less frequently,natural gas,public,,sometimes,200,rarely,324,extra large,3,8,19,8,No,['Paper'],"['Stove', 'Oven']",1553,public
normal,male,pescatarian,twice a day,electricity,walk/bicycle,,sometimes,98,rarely,79,small,2,18,22,23,No,['Glass'],"['Microwave', 'Grill', 'Airfryer']",1255,walk/bicycle
underweight,male,vegetarian,twice a day,natural gas,private,petrol,never,185,frequently,4579,small,6,5,2,1,Yes,"['Glass', 'Metal']",[],2839,private - petrol
obese,male,vegan,more frequently,coal,walk/bicycle,,never,203,rarely,9,large,3,1,11,10,Sometimes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",1920,walk/bicycle
normal,female,pescatarian,twice a day,coal,private,petrol,often,292,never,6734,small,6,17,43,15,No,['Glass'],[],4102,private - petrol
underweight,female,vegetarian,more frequently,electricity,private,hybrid,often,134,rarely,2226,extra large,3,18,50,19,Yes,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",1807,private - hybrid
underweight,female,omnivore,less frequently,electricity,public,,often,217,rarely,895,small,6,14,50,19,Yes,['Metal'],"['Stove', 'Oven', 'Microwave']",1550,public
overweight,female,vegetarian,less frequently,wood,public,,often,118,frequently,1383,large,3,16,49,4,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",2033,public
obese,male,pescatarian,daily,electricity,walk/bicycle,,sometimes,84,rarely,8,large,5,19,15,20,Sometimes,['Glass'],"['Stove', 'Microwave']",1828,walk/bicycle
underweight,male,pescatarian,more frequently,wood,walk/bicycle,,often,283,very frequently,39,extra large,6,10,13,2,No,"['Plastic', 'Glass', 'Metal']",['Microwave'],3053,walk/bicycle
obese,female,pescatarian,less frequently,electricity,walk/bicycle,,sometimes,265,rarely,57,large,1,20,41,18,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1320,walk/bicycle
underweight,female,vegan,less frequently,coal,public,,sometimes,201,very frequently,407,medium,3,3,25,12,No,"['Glass', 'Metal']","['Oven', 'Microwave']",2109,public
underweight,male,vegan,daily,coal,private,hybrid,sometimes,265,rarely,414,medium,4,8,28,20,Yes,['Plastic'],"['Stove', 'Microwave']",1715,private - hybrid
overweight,female,vegan,daily,wood,walk/bicycle,,often,84,never,69,medium,7,23,7,19,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1124,walk/bicycle
underweight,female,vegetarian,more frequently,electricity,private,hybrid,often,102,rarely,6926,small,2,12,41,11,Yes,"['Paper', 'Glass']","['Stove', 'Microwave']",1939,private - hybrid
